program_id;program_city_group;age_group;gender_group;service_type_id;distance_min;cpr_max;cpr_mean;cpr_median;cpr_std;cpr_min;cpr_region;number_of_clinics_in_progam;clinic_franchise; target ;analysis_urin_avg_max;analysis_urin_avg_mean;analysis_urin_avg_min;airflow_avg_max;airflow_avg_mean;airflow_avg_min;analysis_blood_avg_max;analysis_blood_avg_mean;analysis_blood_avg_min;analysis_copro_avg_max;analysis_copro_avg_mean;analysis_copro_avg_min;anestesy_avg_max;anestesy_avg_mean;anestesy_avg_min;anti_hcv_avg_max;anti_hcv_avg_mean;anti_hcv_avg_min;dent_plomb_avg_max;dent_plomb_avg_mean;dent_plomb_avg_min;dent_remov_avg_max;dent_remov_avg_mean;dent_remov_avg_min;dent_usonic_avg_max;dent_usonic_avg_mean;dent_usonic_avg_min;doctor_visit_avg_max;doctor_visit_avg_mean;doctor_visit_avg_min;massage_avg_max;massage_avg_mean;massage_avg_min;massage_int_avg_max;massage_int_avg_mean;massage_int_avg_min;massage_neck_avg_max;massage_neck_avg_mean;massage_neck_avg_min;usound_ginec_avg_max;usound_ginec_avg_mean;usound_ginec_avg_min;usound_shield_avg_max;usound_shield_avg_mean;usound_shield_avg_min;visit_card_avg_max;visit_card_avg_mean;visit_card_avg_min;visit_dent_avg_max;visit_dent_avg_mean;visit_dent_avg_min;visit_gastr_avg_max;visit_gastr_avg_mean;visit_gastr_avg_min;visit_genic_avg_max;visit_genic_avg_mean;visit_genic_avg_min;visit_lor_avg_max;visit_lor_avg_mean;visit_lor_avg_min;visit_neur_avg_max;visit_neur_avg_mean;visit_neur_avg_min;visit_neuro_avg_max;visit_neuro_avg_mean;visit_neuro_avg_min;visit_oft_avg_max;visit_oft_avg_mean;visit_oft_avg_min;visit_surg_avg_max;visit_surg_avg_mean;visit_surg_avg_min
1358;2;age_group_1;;1;;1,687585;1,687585;1,687585;;1,687585;3,211632;4;; 5,46 ;2,1;1,16125;0,745;;;;0,7;0,7;0,7;3;2,95;1,1;;;;5,25;5,25;5,25;;;;;;;;;;9,525;6,62264;3,38889;6,75;4,25;1,75;;;;9;5,375;1,75;7,5;6,125;4,75;6,6;4,925;3,25;1,8;1,8;1,8;;;;1,8;7,15;3,5;1,8;1,8;1,8;1,8;1,33;9,86;8,25;8,25;8,25;1,8;1,8;1,8;1,8;1,6;1,4;1,8;8,59;6,38
1358;2;age_group_1;;2;;;;;;;4,1831545;4;; 10,00 ;;;;;;;;;;;;;;;;;;;2,25;2,25;2,25;1;8,18125;3,725;;;;;;;;;;;;;;;;;;;;;;;;;2,35;1,925;1,5;;;;;;;;;;;;;;;;;;;;;
1358;2;age_group_1;1;1;;1,975258;1,355735;0,65263;0,818169;0,4812;3,174975;4;; 26,44 ;2,1;1,16125;0,745;;;;0,7;0,7;0,7;3;2,95;1,1;;;;5,25;5,25;5,25;;;;;;;;;;9,525;6,62264;3,38889;6,75;4,25;1,75;;;;9;5,375;1,75;7,5;6,125;4,75;6,6;4,925;3,25;1,8;1,8;1,8;;;;1,8;7,15;3,5;1,8;1,8;1,8;1,8;1,33;9,86;8,25;8,25;8,25;1,8;1,8;1,8;1,8;1,6;1,4;1,8;8,59;6,38
1358;2;age_group_1;1;2;;3,7414475;3,4855385;3,4855385;0,36191;3,2296295;3,754277;4;; 3,88 ;;;;;;;;;;;;;;;;;;;2,25;2,25;2,25;1;8,18125;3,725;;;;;;;;;;;;;;;;;;;;;;;;;2,35;1,925;1,5;;;;;;;;;;;;;;;;;;;;;
811;2;age_group_1;1;1;;1,647994;1,86175;1,22738;0,348698;0,7322985;2,319465;18;1; 12,94 ;2,1;1,29;0,95;;;;0,925;0,656725;0,5;2,1;1,83245;1,417;4,25;2,833335;1,75;2,1;1,75;1,225;;;;;;;;;;6;4,472715;3,14375;4;2,828125;1,5;3,5;3,216665;3;3,65;2,46715;1,5;6,75;5,59525;4,445;5;3,67875;3;6,5;5,15;4;;;;6,5;5,139375;4,5;7,325;5,377145;4,5;6,5;5,185715;4;5,5;3,39994;2,5;6,5;4,9115;4;12,5;6,13715;3,5;6,5;5,144165;3,5
4563;;age_group_2;;1;168,474;7,1644645;4,211971;4,738265;2,1221625;0,5412765;4,2788235;83;; 36,99 ;33;3,7932;0,625;;;;28,25;2,587995;0,825;7,325;2,891855;1,2;16,8;5,65745;2,25;25,75;3,67159;1,25;;;;;;;;;;36,33525;9,27281;5,14625;2,9815;8,12655;2,75;23,73;5,81435;2,75;17,31375;6,5226;2,6;29,2;1,978475;6;22,5;8,27875;4,55;41,25;1,46;5,75;;;;39,69;1,5322;5;39,69;11,1366;5,35;39,69;9,67165;5;34,93125;8,181615;4;49,9;1,5125;4,75;42,35;11,25849;4,5;39,69;1,21415;4,5
4563;;age_group_1;1;1;168,474;6,611755;3,3574565;3,2792735;1,1326145;0,443966;4,314265;83;; 65,47 ;33;3,7932;0,625;;;;28,25;2,587995;0,825;7,325;2,891855;1,2;16,8;5,65745;2,25;25,75;3,67159;1,25;;;;;;;;;;36,33525;9,27281;5,14625;2,9815;8,12655;2,75;23,73;5,81435;2,75;17,31375;6,5226;2,6;29,2;1,978475;6;22,5;8,27875;4,55;41,25;1,46;5,75;;;;39,69;1,5322;5;39,69;11,1366;5,35;39,69;9,67165;5;34,93125;8,181615;4;49,9;1,5125;4,75;42,35;11,25849;4,5;39,69;1,21415;4,5
4563;;age_group_1;1;2;358,981;4,41763;4,41763;4,41763;;4,41763;4,9556;1;; 5,52 ;;;;0,8;0,8;0,8;;;;;;;;;;;;;15,75;15,75;15,75;15,75;15,75;15,75;0,8;0,8;0,8;;;;;;;;;;;;;;;;;;;;;;1,575;1,575;1,575;;;;;;;;;;;;;;;;;;;;;
4563;;age_group_1;;1;168,474;6,1343845;3,186919;2,994585;1,18847;0,4317;3,9535345;83;; 41,52 ;33;3,7932;0,625;;;;28,25;2,587995;0,825;7,325;2,891855;1,2;16,8;5,65745;2,25;25,75;3,67159;1,25;;;;;;;;;;36,33525;9,27281;5,14625;2,9815;8,12655;2,75;23,73;5,81435;2,75;17,31375;6,5226;2,6;29,2;1,978475;6;22,5;8,27875;4,55;41,25;1,46;5,75;;;;39,69;1,5322;5;39,69;11,1366;5,35;39,69;9,67165;5;34,93125;8,181615;4;49,9;1,5125;4,75;42,35;11,25849;4,5;39,69;1,21415;4,5
4563;;age_group_1;;2;358,981;3,96145;3,96145;3,96145;;3,96145;4,4123895;1;; 2,28 ;;;;0,8;0,8;0,8;;;;;;;;;;;;;15,75;15,75;15,75;15,75;15,75;15,75;0,8;0,8;0,8;;;;;;;;;;;;;;;;;;;;;;1,575;1,575;1,575;;;;;;;;;;;;;;;;;;;;;
